all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	topk_recall	topk_direction	response_auroc_abs_pred	pred_abs	real_abs	responsive20_pred_abs	bottom50_pred_abs	mode	perturbation	target_genes	n_shared_sites	graph_abs	latent_abs	residual_abs	attention_mean
0.7295292019844055	0.7483238066850088	0.7884615384615384	0.8217834234237671	0.7443873683187767	1.0	0.6363636363636364	1.0	0.7804878048780488	0.058012910187244415	0.8934188485145569	0.10636364668607712	0.03627559915184975	true	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52	0.0014452214818447828	0.02291729673743248	0.03407210484147072	0.0033258353359997272
0.5391467213630676	0.7519112510270668	0.7884615384615384	0.5518496632575989	0.7443873683187767	1.0	0.6363636363636364	1.0	0.835920177383592	0.0008903583511710167	0.8934188485145569	0.0023317867890000343	0.00033203914063051343	zero	vorinostat		52	0.0008903583511710167	0.0	0.0	0.0019823366310447454
0.5391467213630676	0.7519112510270668	0.7884615384615384	0.5518496632575989	0.7443873683187767	1.0	0.6363636363636364	1.0	0.835920177383592	0.0008903583511710167	0.8934188485145569	0.0023317867890000343	0.00033203914063051343	shuffled	vorinostat	PSMB5	52	0.0008903583511710167	0.0	0.0	0.0019823366310447454
0.7697385549545288	0.7103139797274892	0.6923076923076923	0.8948712348937988	0.9041190146549017	1.0	0.6363636363636364	1.0	0.8203991130820399	0.061107929795980453	0.805117666721344	0.11483443528413773	0.03383256122469902	true	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52	0.0015767463482916355	0.02459733560681343	0.035566456615924835	0.003421852132305503
0.5530721545219421	0.6815717173202862	0.6730769230769231	0.6020601987838745	0.9041190146549017	0.9090909090909091	0.6363636363636364	1.0	0.8070953436807096	0.0009950899984687567	0.805117666721344	0.003122956259176135	0.00022479369363281876	zero	vorinostat		52	0.0009950899984687567	0.0	0.0	0.0020407771226018667
0.5530721545219421	0.6815717173202862	0.6730769230769231	0.6020601987838745	0.9041190146549017	0.9090909090909091	0.6363636363636364	1.0	0.8070953436807096	0.0009950899984687567	0.805117666721344	0.003122956259176135	0.00022479369363281876	shuffled	vorinostat	PSMB5	52	0.0009950899984687567	0.0	0.0	0.0020407771226018667
0.5961286425590515	0.621312148394906	0.723404255319149	0.6371979713439941	0.5349568784384567	0.8	0.6	1.0	0.6702702702702703	0.04568331316113472	0.5543498396873474	0.09006140381097794	0.022958992049098015	true	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	47	0.0010723220184445381	0.0189388208091259	0.026488663628697395	0.002628581365570426
0.4651293456554413	0.5850400145919632	0.723404255319149	0.5364707112312317	0.5167197121280549	0.9	0.5	1.0	0.7891891891891892	0.000697480805683881	0.5543498396873474	0.0019447968807071447	0.0001746810448821634	zero	vorinostat		47	0.000697480805683881	0.0	0.0	0.0015600745100528002
0.4651293456554413	0.5850400145919632	0.723404255319149	0.5364707112312317	0.5167197121280549	0.9	0.5	1.0	0.7891891891891892	0.000697480805683881	0.5543498396873474	0.0019447968807071447	0.0001746810448821634	shuffled	vorinostat	PSMB5	47	0.000697480805683881	0.0	0.0	0.0015600745100528002
0.5875282287597656	0.582280845435314	0.5882352941176471	0.8571508526802063	0.7836011218345129	0.9090909090909091	0.2727272727272727	1.0	0.7204545454545455	0.04055943340063095	1.0364155769348145	0.057544805109500885	0.03534955903887749	true	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	51	0.00046620628563687205	0.015314694494009018	0.024975374341011047	0.0016734361415728927
