	n	all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	topk_recall	topk_direction	response_auroc_abs_pred	topk_enrichment
shuffled	55	0.6209668094419282	0.6109745746809062	0.7292069891351552	0.7975728709589351	0.7344256960726008	0.8846241637150729	0.5094332939787485	0.9818181818181818	0.7480487063441609	2.5471664698937424
true	55	0.6659046207173642	0.6181533627758647	0.7224206579023772	0.8133728563785553	0.7456678585840671	0.8800787091696183	0.508819362455726	0.9781818181818182	0.7568115581736271	2.54409681227863
zero	55	0.5471153715117412	0.5989655818530486	0.6697585692542066	0.6533911779184233	0.7433661595547603	0.8436776859504131	0.5027449822904368	0.8981385281385281	0.7121939949635875	2.5137249114521842
true_minus_shuffled	55	0.04493781127543606	0.0071787880949585325	-0.006786331232778053	0.015799985419620133	0.01124216251146637	-0.00454545454545463	-0.0006139315230224707	-0.0036363636363636598	0.008762851829466234	-0.0030696576151125754
