mode	perturbation	target_genes	n	all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	topk_recall	topk_direction	response_auroc_abs_pred	pred_abs	real_abs	responsive20_pred_abs	bottom50_pred_abs	graph_abs	latent_abs	residual_abs	attention_mean
shuffled	Bortezomib	ABL1;SRC;LYN;HCK	7	0.46106059077594963	0.4612261346757046	0.6962483493680437	0.5348381357533591	0.5406139788224199	0.7525510204081632	0.5195578231292517	0.8571428571428571	0.7164540816326531	0.049579061567783356	0.9049756356648037	0.0802680573293141	0.03621983900666237	0.0002834728636246707	0.025669448875955174	0.024119756583656584	0.0006112769541297374
shuffled	Bosutinib	EGFR	7	0.5248018077441624	0.4909065351619084	0.6483764855687605	0.7775303040231977	0.7807287865817962	0.9030612244897959	0.41241496598639454	1.0	0.6462953514739229	0.04753629064985684	0.5881333947181702	0.07330813524978501	0.037383259407111576	1.5802704378334704e-05	0.03280342556536198	0.016729880390422686	4.351285990976196e-05
shuffled	Carfilzomib	ABL1;SRC;LYN;HCK	7	0.46638596643294605	0.38783943274682287	0.6583606192901609	0.6376097170369965	0.6690474927872389	0.7678571428571429	0.43197278911564624	0.9642857142857143	0.6903486394557824	0.049579061567783356	0.9595299107687814	0.0779717383640153	0.03983305873615401	0.0002834728636246707	0.025669448875955174	0.024119756583656584	0.0006112769541297374
shuffled	Dasatinib	EGFR;ERBB2	6	0.49655209730068844	0.518932634347626	0.705294598503427	0.643919105331103	0.6497499766665434	0.7430555555555555	0.3363095238095238	0.95	0.6293981481481482	0.0693693074087302	0.709710568189621	0.0957606000204881	0.055416704465945564	3.574083211788093e-05	0.03578030876815319	0.03396057616919279	9.550367758492939e-05
shuffled	Erlotinib	MAP2K1;MAP2K2	7	0.6168746139322009	0.6839380788303099	0.7481297329344868	0.789768363748278	0.747882372771704	0.9387755102040816	0.5790816326530612	1.0	0.7997250566893425	0.04348936304450035	0.6454836215291705	0.08759273162909917	0.028781704072441374	7.501232487681721e-05	0.02595130673476628	0.021090575626918247	0.0001422280324082489
shuffled	Gefitinib	MAP2K1;MAP2K2	7	0.5495714630399432	0.6810891525132189	0.7175568289002074	0.8776017768042428	0.7402399051113978	0.9438775510204083	0.5204081632653061	1.0	0.7697363945578231	0.04359567378248487	0.6404468374592918	0.07190158377800669	0.03678984035338674	7.50339181000267e-05	0.02599082567862102	0.021166594699025154	0.00014230773480708843
shuffled	Imatinib	CREBBP;EP300	7	0.5689847384180341	0.5743994933810769	0.7216042458296279	0.7596678563526699	0.6699840302354827	0.9005102040816327	0.43792517006802717	0.9523809523809523	0.7311366213151927	0.07893636769482068	0.5799754985741207	0.12424119561910629	0.06062941040311541	5.84928784519434e-05	0.039650987035461834	0.039402205497026443	0.00014478398640806387
shuffled	Lapatinib	PIK3CA;PIK3CB;MTOR	7	0.6537037576947894	0.6588114333470477	0.7596233527366804	0.7624647745064327	0.7802336473843049	0.8826530612244898	0.5229591836734694	0.9238095238095239	0.784016439909297	0.06175633732761655	0.6712903039796012	0.10384280234575272	0.0416665572140898	9.663171191017941e-05	0.030230162665247917	0.03167911299637386	0.0002476113981434277
shuffled	Nilotinib	CREBBP;EP300	7	0.46296002183641705	0.5009875630818673	0.7124581095938332	0.5476292627198356	0.6438296256118113	0.7625231910946197	0.35756029684601115	0.8333333333333334	0.605900856122531	0.07876866736582347	0.5647798095430646	0.09753260974373136	0.068205184170178	2.4249882959078866e-05	0.03948530900691237	0.039395326748490334	7.285860088554077e-05
shuffled	Ponatinib	ABL1;SRC;LYN;LCK;HCK;KIT;PDGFRB;YES1	7	0.4579589106142521	0.36633416764616733	0.6176543509310912	0.6675382235220501	0.6210383568547213	0.7857142857142857	0.369047619047619	1.0	0.6785714285714286	0.04761459252664021	0.6152817904949188	0.06580450971211706	0.042095852217503955	0.0002767533546180597	0.024531707699809755	0.02329576334783009	0.0006000766505686832
