mode	n	all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	topk_recall	topk_direction	response_auroc_abs_pred	pred_abs	real_abs	responsive20_pred_abs	bottom50_pred_abs	graph_abs	latent_abs	residual_abs	attention_mean
shuffled	125	0.5173037935942412	0.5515855251531435	0.6716602032843273	0.6687635646015405	0.659652479519104	0.8129965367965368	0.42916507936507936	0.9587431693989071	0.6815243364221488	0.041546571814178604	0.6916253638267517	0.06300136966201898	0.03248333429428385	0.00010856405731101403	0.02178369926661253	0.020443218648433684	0.0002467175170168048
true	125	0.5427339787352831	0.5470166048681168	0.681914125393064	0.7087219299077988	0.6617739340277576	0.8572109668109669	0.4392450216450216	0.964207650273224	0.6973215949966064	0.045178920831836875	0.6916253638267517	0.06933895274817405	0.035557658046316644	0.00010328058612867607	0.023425797902047633	0.022666597336530685	0.0002320828667288879
zero	125	0.4656244476456195	0.609648154478322	0.5772392070826912	0.5529344789981842	0.6790667596630463	0.7181688311688311	0.45094949494949493	0.9634146341463414	0.643753451874322	3.523525452328613e-05	0.6916253638267517	0.00011443803798647423	1.0899682354647666e-05	3.523525452328613e-05	0.0	0.0	8.095098653575405e-05
