architecture	model	mean_overall_spearman	median_overall_spearman	mean_within_condition_spearman	median_within_condition_spearman	mean_pseudobulk_spearman	median_pseudobulk_spearman
ctpnet	mean3	0.434535535928147	0.4328401058900134	0.3332889439702916	0.3354359067713748	0.6484554989978191	0.6403965198753473
ctpnet	rank3	0.4354210282610486	0.43341930406672624	0.3260318977593132	0.33160447694725814	0.643627637563593	0.6310241301139942
ctpnet	single_original	0.42025996277894484	0.431894309848555	0.329232057049227	0.33597391748542893	0.6303546875971272	0.6455547541104885
scipenn	mean3	0.4499036158387632	0.46230257176383494	0.35262418951869423	0.3627111071739675	0.6486124256982709	0.646660234915452
scipenn	rank3	0.45024402013293285	0.46140209637881685	0.34025225164558837	0.34948083849557704	0.6481345554569653	0.6399196705444278
scipenn	single_original	0.4255443019827396	0.43768138625077313	0.32783758499067117	0.34560218736838144	0.6431652308439946	0.642284241740492
