model	mean_overall_spearman	median_overall_spearman	mean_within_condition_spearman	median_within_condition_spearman	mean_pseudobulk_spearman	median_pseudobulk_spearman
mean3	0.4651775751469037	0.466637148062083	0.3619817050092239	0.3589765481417946	0.649402895789825	0.6415939120499223
member2	0.4282417637050352	0.4311441315109349	0.33090029331612614	0.3341142220129838	0.6147722308160326	0.6044091808614918
member3	0.4390042058868824	0.4411791078846034	0.3329963776581758	0.34323506550951544	0.6219914510975801	0.625534489780514
original	0.4349993589536507	0.44177276118762754	0.3508387778816606	0.34825383275491245	0.6334100918029522	0.6262075619424562
rank3	0.4652320921911886	0.46497313913158395	0.3570258158178107	0.3551108810952447	0.6451081626036658	0.6402746079068776
validation_selected	0.46581234149567763	0.466637148062083	0.3594034076611022	0.3551108810952447	0.6478783282391136	0.6415939120499223
