competitor	metric	n_pairs	mean_delta	median_delta	bootstrap_95ci_low	bootstrap_95ci_high	wilcoxon_two_sided_p	paired_permutation_two_sided_p	sc15_win_fraction	largest_absolute_pair_share
ctpnet	overall	100	0.018059444725728898	0.020123825775394566	0.01254308705779243	0.023366590953658964	7.052036774337939e-10	9.99990000099999e-06	0.83	0.04010794440622433
ctpnet	within_condition	100	0.026366022161883027	0.025018498267473377	0.02096437264107728	0.03166459865355419	7.189401383931969e-13	9.99990000099999e-06	0.9	0.027218665174494835
ctpnet	pseudobulk	100	-0.0008798996532196102	0.006153216394642003	-0.01283466559877569	0.00953267412004109	0.05953765520191779	0.8866511334886651	0.63	0.10386967990488818
scipenn	overall	100	0.010475637459440877	0.010799775650645438	0.004747270302972068	0.0161074051849508	1.2033085813778238e-05	0.0002999970000299997	0.75	0.04257382124816245
scipenn	within_condition	100	0.015736735041469732	0.017009284131462923	0.01018766606589586	0.021216233336447517	1.5469347146885225e-07	9.99990000099999e-06	0.78	0.031298926607014034
scipenn	pseudobulk	100	-0.0026282792027770164	0.004970868073306711	-0.0174335527627939	0.01146561822805767	0.511360943044574	0.7331126688733113	0.59	0.09640878917623943
