rank	split_69001	split_69002	split_69003	split_69004	split_69005
407	LINC01578	__Nr3c1	TTC7A	__Acp5	__Tap2
408	AC147651.4	IMP3	__Sbno1	RECQL	DAP3
409	AP3B1	__Ubap2l	__Erg28	__Ypel3	APOBEC3C
410	MYL6B	__Pin1	CENPX	GNL3	__Ifi35
411	BAZ1B	__Lsm12	__Paxbp1	BRIP1	MRPS16
412	NOL3	PEAK1	ABI1	EMC6	TRADD
413	__Mat2a	__Plekhj1	__Slc44a2	PTPRK	UBR2
414	__Mark2	__Runx3	__Casp8	__Ncapd3	BRCA1
415	ANKRD36	MRPS18C	__Dok2	__Dnajc3	__Ubl4a
416	NUP153	__Igtp	__Cbfb	DGKH	DOK2
417	DNAJC15	__Enox2	__Ptpn6	__AI662270	KDM5A
418	__Pop5	__Smarce1	__Etf1	__Bhlhe40	__Gab2
419	CDC27	RBM42	USP12	EIF2S3	__Snf8
420	KIFC1	ADAR	SMC1A	GTF3A	__Mrps34
421	ATF7IP	PRKRIP1	RFX3	__Cenpw	FDXR
422	SNHG16	__Lsm14a	METTL15	ZDHHC12	MYL6B
423	__Stk4	MGMT	PSMD9	RALGAPA2	CDV3
424	__Bri3	KDM5A	__Ppp6r3	__Napa	__Zmynd8
425	__Mrps34	PPP6R1	PRIM2	BAZ1A	CDC27
426	__Lsm8	__Zmynd8	NME3	USP10	CENPK
427	__Vdac3	__Aebp2	GIGYF2	CERT1	__Mark2
428	RAB8A	RBMS3	__Pafah1b3	__Mrps33	HSBP1
429	TXNL1	TXNL1	__Cenpm	__Ubap2	INPP4A
430	__Lrp10	RBMS1	__Mia2	SLC39A8	CCDC18-AS1
431	__Sik3	__Tasp1	UBR2	__Fundc2	PTPN2
432	__Pfdn2	SBF2	__Osbpl8	HIST1H4C	__Topbp1
433	PRPF38B	RPS6KA1	COA4	MARCH6	RBCK1
434	ANXA7	ANKIB1	__Traf1	__Polr2a	__Cox16
435	CYB5B	__Tm9sf3	__Zfp106	__Supt16	TSTD1
436	__Kif15	ATF7IP	PLEKHJ1	RNGTT	UFC1
437	RAD50	__Picalm	PTPN11	FBXW11	FKBP5
438	PEAK1	__Utp11	AL138720.1	POLR2I	FAM50A
439	__Spop	__Oip5os1	PRDX3	__Ep400	MRPL22
440	PIBF1	PTPN2	TMUB1	RCBTB2	GSDMD
441	__Runx3	CALD1	PAG1	PDCD6	RNF167
442	FAAP20	RPS6KA3	ADD1	NDUFAF3	__Atad2
443	__Bcl7c	__Pim2	__Tubb6	ANXA5	__Pop5
444	STAG2	__Dgka	KLF13	CNPY2	PSMC4
445	IL1RN	__Map4k4	WDR18	NENF	__Frg1
446	RBL1	__Vdac3	USP37	__Sesn3	ANKRD36
447	SGO2	ARF5	FUBP1	__Inpp5d	LSM8
448	TBCB	TRIM38	ANXA5	__Eml4	ELOVL5
449	ASMTL	TBCB	DNAJC9	ANAPC5	__Lsm7
450	ADAR	MTCH2	PDK1	CCNG1	__Hpf1
451	__Zranb2	DYRK1A	DMAC1	RSRC2	__Dgka
452	__H2-DMa	DDIT3	__Ubn2	__Pafah1b3	__Usp1
453	__Cdc42se1	__Lsm8	__Ndufv1	NF1	__Mrpl51
454	RALB	SMIM26	__Prkcsh	__Sipa1l1	YY1
455	ANKIB1	__Ndufv1	G3BP1	__Acot7	HCFC1R1
456	FUBP1	ASMTL	CAMK1D	__Pik3r1	TRIP12
457	TIPRL	__Dcun1d5	TRADD	VAMP8	APBB1IP
458	ANAPC5	__Spop	ANKRD36	PFDN6	RIOK3
459	__Ogt	RAD50	PIBF1	BRCA1	SEC61A1
460	DYM	NPC2	DUSP16	APBB1IP	__Crebbp
461	DCP2	TTF1	RIOK3	MRPL27	ANKLE2
462	__Traf1	SZRD1	__Mrps34	__Arhgap30	__Adam19
463	NPC2	LSM8	__Clspn	VPS13C	__Eif4g3
464	__Psmc5	PPP2R2A	HPRT1	__Ghitm	ANKRD10
465	RBCK1	TNF	PTPN2	VEGFB	__Dock11
466	TPGS2	MIER1	__Vsir	CCDC124	__Cenpm
467	PDS5B	__Mvb12a	SREK1IP1	__Ust	__Mbtd1
468	__Gpbp1	__Snf8	__Tipin	UHRF2	__Ppp1r18
469	OSTF1	__Tcf12	TGOLN2	__Ndufb6	__Gls
470	__Oip5os1	DCP2	__Xrn2	__Fam117b	ABCB7
471	__Crebbp	__Ahnak	CLDND1	NDUFA12	__Arhgap18
472	RALA	HDAC8	MTCH1	RBCK1	TMEM50A
473	__Rtf2	FIBP	POU2F1	CAMTA2	__Aurka
474	SUPT5H	YTHDF2	__Aamp	MBD2	SDF4
475	__Tasp1	MAD2L2	USP22	DEF6	__Aamp
476	TGOLN2	RB1	RPS6KA1	__Itgav	__Imp3
477	MLLT6	PPIE	__Dennd1b	CALD1	__Erg28
478	MRPS18C	__Cstb	__Aff4	RNF7	TGOLN2
479	SEC61A1	MCTP2	__Mrpl20	TLK1	RHOF
480	__Smarca4	BRCA1	SNHG16	__Psmc4	RPS6KA1
481	__Zmynd8	ATP6V1G1	RNF144A	CARD8	__Zranb2
482	__Ubap2l	PDS5B	PMCH	RASSF5	SLC25A36
483	__Cstb	ATP1A1	RASA2	KDM5B	__Ubac2
484	__Enox2	__Clspn	TNKS	PRDM2	DHPS
485	PLEKHJ1	GSPT1	NBAS	CD164	PRDX3
486	SZRD1	TPGS2	__Psmc5	__Rbm42	SEC31A
487	RBMS1	__Ndufs8	ATP1A1	LAGE3	RASA2
488	__Stag2	__Hpf1	ADNP	__Nt5c	__Dtymk
489	P2RX4	__Fndc3a	RABL6	GOLGB1	SNHG16
490	PTPN2	__Gpbp1	PCNX1	USP3	G3BP1
491	SIAH2	__Ccdc34	__Crebbp	__Aip	PDK1
492	__Fndc3a	TIPRL	__Gtf2h5	__Agpat5	__Sf1
493	KHSRP	STAMBP	__Mark2	CXCR4	USP22
494	__Lsm14a	APBB1IP	__Ppp1cb	APEX1	__Adh5
495	HRH2	__Lrp10	ITM2C	CEP128	DAZAP2
496	RB1	HPRT1	CCNG1	__Selenof	NUDT5
497	HDAC8	__Pola1	ANAPC5	__Ndufs2	__Dennd1b
498	__Aebp2	PHF19	__Ifi35	__Erh	UBE2E1
499	CARD19	__Atp10a	__Rpa1	__Arf4	EIF2S3
500	DBNL	CARD19	MRPS16	COA4	TMUB1
501	MEF2A	__Strn3	FDXR	__Stat5b	MAD2L1
502	ZMYND8	TRAPPC6A	COPS6	__Tcea1	__Dnajb6
503	MIER1	__R3hdm4	__Imp3	MRPL17	ADD1
504	__Tra2a	__Tap2	HIVEP2	YTHDC1	__Sbno1
505	__Dcps	__Prkcsh	ITM2A	__Rtf2	__Nrf1
506	NOB1	SGO2	__Rtf2	__Stk10	__Ubn2
507	G3BP1	ZC3H12D	SNHG5	ARHGAP30	__Snx20
508	__Ly6c2	__Ccdc124	CNOT6L	ARHGEF7	__Zfp91
509	__Strn3	CASP3	__Arf4	OCIAD2	__Ubxn4
510	CASP3	WDFY1	TAF10	WDR82	PAG1
511	MT-ND6	ANAPC5	__Zranb2	MRTFA	__Trappc4
512	__Snhg6	__Dock8	__Eif4g3	MAD2L1	__Lamtor5
513	__Mtch1	RALB	__Cisd3	__Rps6ka5	__Mydgf
514	CLDND1	CENPX	__Exoc6b	TRAF3IP2-AS1	VGLL4
515	TENT2	PPP1R18	ARHGAP30	PTPN2	SUPT4H1
516	__Slc3a2	NOL3	MYO9B	PPP4R3A	ARHGAP30
517	__Tcf12	__Dnajc9	DENND1A	__Pole4	KIF22
518	__Ubac2	IK	RUVBL2	SNHG16	PSD4
519	__Tap2	__Cdc42se1	RNF167	CHEK1	REXO2
520	VGLL4	ANXA7	INPP4A	CREB1	__Ankrd37
521	__R3hdm4	BRAF	MCL1	__Cdk12	PIBF1
522	APBB1IP	ARHGAP30	__Mvb12a	MT1X	PSAP
523	__Dnajc9	OSTF1	__Nrf1	MALT1	SUPT5H
524	__Trappc4	RALA	ETFA	__Eva1b	FERMT3
525	DYRK1A	DDOST	SEC61A1	ETNK1	RNF144A
526	ATP6V1G1	__Slc3a2	GCC2	__Gtf2h5	GCC2
527	DDOST	DBNL	__Mydgf	__Rrm2	__Pdlim1
528	SMDT1	__Erg28	CCDC18	__Rsf1	__Rpa1
529	PPP1R18	__H2-DMa	CALD1	SELENOK	__Oga
530	YTHDF2	__Cd44	APBB1IP	__C1qbp	ITM2C
531	__Clspn	P2RX4	CMPK1	ABCB7	__Sod2
532	__Ube2m	PHF21A	__Gab2	MAP1LC3B	__Msmo1
533	UBE2V2	__Smarca4	__Oga	__Sell	MGMT
534	__Atp10a	__Rbm38	BRCA1	__4932438A13Rik	DCP2
535	ATP1A1	MLLT6	__Wac	__Tlk1	__Casp8
536	TMEM256	MEF2A	SUPT5H	RBM33	RNF126
537	__Nr3c1	MYL6B	AGTPBP1	__Mbd3	OXSR1
538	MCL1	FAAP20	__Ubac2	__Asap1	__Scd1
539	IK	SNHG16	KDM5A	ACACA	ELOF1
540	__Slc2a1	__Ubac2	ADTRP	CLEC16A	__Ralgapa2
541	STAMBP	VGLL4	__Yy1	VASP	DUSP16
542	__Naa10	MCL1	__Rnf114	__Crlf2	PRIM2
543	MDM4	DSTN	__Ndufv2	SNF8	GIGYF2
544	LSM8	__Sik3	ZFC3H1	CDKN1A	__Cbfb
545	__Hpf1	NEMF	__Rcc2	__Lman2	CNOT6L
546	CSNK1G1	MRPS15	COPA	__Mrpl42	__Top1
547	LBR	WDR45B	ANKLE2	__Trappc4	METTL15
548	TRIM38	__Traf1	NDUFA2	__Mrfap1	FUBP1
549	__Pola1	__Cenpw	TWF2	KCMF1	__Rtf2
550	__Ptpn22	TMEM131L	__Dock11	CERS6	MEF2A
551	BRCA1	LBR	MGMT	CKAP5	__Rdx
552	__Tm9sf3	NCAPG2	__Itgal	MMP24OS	__Rcc2
553	POLA1	__Anapc13	__Tram1	__Rnf19a	__Mvb12a
554	SBF2	__Dcps	__Msmo1	COG5	__Kdelr1
555	PHF21A	__Tram1	RNF7	CTDNEP1	BRI3
556	__Dtymk	SYNE2	SLC25A36	__Wdr83os	NPM3
557	UBE2E1	AC147651.4	RBL1	MARCH7	__Phf21a
558	__Drap1	__Nrn1	OXSR1	__Ywhaq	CCNG1
559	DSTN	NOB1	ADAR	__Eif1ax	__Slc2a1
560	__Gm2a	__Dtymk	SUPT4H1	__Ubac2	PCNX1
561	HMG20B	DDHD1	__Usp1	RIF1	VASP
562	PPP2R2A	__Mrps34	CISD1	NDUFA7	ITM2A
563	OCIAD1	SPAG9	__Smarca4	__Psmc6	RTF2
564	__Ahnak	ERC1	RBCK1	POM121	PRKRIP1
565	__Peak1	RAB27A	ATP5PD	__Use1	__Ythdc1
566	__Erg28	SMDT1	NDUFA10	__Cyb5b	__Mrps26
567	__Tram1	DDX6	__Hsbp1	__Cox16	__Ppig
568	MRPL55	CBFB	DCTPP1	MTF2	ADAR
569	RBMS3	__Nop58	__Asf1b	PSMD3	__Cyth1
570	__Flna	__Psmc5	TNRC6A	RPS6KA1	__Vti1a
571	RPS6KA3	LEF1	__Ogt	__Cdk4	RNF7
572	__Picalm	__Gtf2h5	__Lrrc32	AURKA	MAGOH
573	__Ntrk3	RFC3	ZC3H12C	DPP7	__Ndufs2
574	HIF1A-AS3	__Ptpn22	IFNAR2	POC1B	SSB
575	HSBP1	__Bri3	MAGOH	ALKBH5	__Ikzf4
576	__Rasal3	__Mat2a	__Ly6c2	__Ppp2r5a	ARFGEF1
577	__Rbm38	__Cbl	__Ankrd37	__Arhgap18	__Vsir
578	__Ppp2ca	RICTOR	__Mapk1	PRKCQ	__Lims1
579	__Nsd1	__Mbd2	TOMM40	ACTN4	ANXA5
580	PSMD2	__Lims1	__Zmynd8	TTC7A	__Stk4
581	__1110004F10Rik	OCIAD1	ITM2B	__Acsl5	DYM
582	RICTOR	CSNK2A1	__Ccdc50	__Abhd17a	__Mrpl20
583	__Dgka	CMIP	__Klf6	KARS	__Mrtfa
584	__Sept6	CCNG1	__Map4	YY1	ADTRP
585	__Babam1	ATP13A3	RPA2	__Tab2	EIF4G1
586	ERC1	__Nsd1	LINC00513	ERBIN	__Asf1b
587	GRAMD1A	__1110004F10Rik	__Mrpl51	__Sdha	NDUFA10
588	NEMF	UBE2V2	FAM50A	UBE2E1	PLEC
589	__Usp1	__Peak1	ADAM10	CCNL1	__Herc1
590	KDM4B	ZMYND8	__Adh5	NEK7	SNHG32
591	__Hipk2	CCDC18	MAD2L1	PRKAR1B	ABI1
592	RWDD1	RBCK1	__Pcmt1	ITM2B	HAVCR2
593	__Cenpm	CEP350	__Ikzf4	AFTPH	MVP
594	ACAA2	GPATCH8	UBE2E1	TGOLN2	MTF2
595	MAD2L1	TSTD1	POLR2J	__Slc44a2	EMC6
596	CSNK2A1	FNDC3A	DYM	__Ssbp2	__Psmd13
597	ZC3H12D	ADAM19	__Eif1ax	CDCA5	PPHLN1
598	__Lims1	SMC5	__Spn	__Arid2	MGAT1
599	__Ccdc34	SP140	MRPL22	__Dpm3	__Mvd
600	__Gtf2h5	__Rtf2	__Dpm3	FIS1	DMAC1
601	__Phf5a	__Spn	__Herc1	ATXN10	__Mrpl28
602	__Pstpip1	__Dnajb6	OCIAD1	__Sf1	__Sesn3
603	TMEM131L	__Ost4	MAP1LC3B	__Mark2	TNRC6A
604	__Nop58	__Slc2a1	ITPR1	MLEC	__Itgal
605	ARHGAP30	RWDD1	__Mbtd1	IGFBP2	MIER1
606	SMIM26	NDUFB6	ADGRG1	__Tpp2	PHF19
607	ANXA5	__Ly6c2	DHPS	NUP62	YTHDC1
608	__Tardbp	SEC61A1	__Mvd	ZFP36L2	RPA2
609	IL16	PLEKHJ1	__Cyth1	__Ostc	GRAMD1A
610	__Cnot1	ANXA5	YTHDC1	__Fzr1	RFX3
611	__Nrn1	__Trappc4	__Trappc4	__Hemk1	__Paxbp1
612	XPO6	SIAH2	ZNF267	__Hipk2	TRERF1
613	CCDC18	__Sbno1	__Psmd11	THOC2	__Igf1r
614	__Sf3b6	SMC1A	BRI3	__Spn	POLR2J
615	__Ankrd37	__Usp1	TRIM38	PBRM1	PSMD3
616	__Ndufs2	UTY	__Zfp91	HAVCR2	__Fryl
617	__Mbd2	UBE2Z	DCP2	ANKRD36	KLF13
618	CCNG1	CD55	HAVCR2	MGAT1	__Lrrc32
619	TMEM147	__Cbx1	AP3B1	__Luc7l3	__Pcmt1
620	ADM	__Gm2a	CASP3	SMC3	__Tomm40
621	__Dok2	ADM	__Naa10	__Ddrgk1	OCIAD1
622	__Cbl	__Ralgapa2	SGO2	PUF60	__Fndc3a
623	RNF7	__Frg1	__Stk4	BRWD1	__Wapl
624	__Cbx1	__Uck2	MEF2A	__Fads2	CSGALNACT2
625	__Anapc13	__Pop5	ARFGEF1	MCM3	__AI662270
626	MRPS16	MAD2L1	__Ndufs2	PPHLN1	SMC5
627	PHF14	ACAA2	__Tspan13	ZNF654	ZNF267
628	__B4galt1	XRN1	__Lsm2	__Selenos	TRIM38
629	UTY	__Gm26917	__Sesn3	__Gadd45g	VSIR
630	BRAF	__Ntrk3	__Psma5	__4930523C07Rik	HIVEP2
631	__Spn	HSBP1	__Sept6	SUN2	__Ghitm
632	IGFBP2	PSMD2	MIER1	DENR	__Jaml
633	__Cd44	__Bcl7c	DOK2	__Etf1	ADNP
634	FNDC3A	__A430093F15Rik	PLEC	__Ddx3x	HDAC8
635	__Eif1ax	TBC1D4	CDC27	ANKRD36C	__Ptp4a3
636	__Vti1a	MRPL55	__Eif4e2	EIF4G1	SREK1IP1
637	GPATCH8	ELAVL1	__Dctn3	__Mvb12a	__Stat5b
638	__Mrpl51	__Cenpm	VSIR	__Dap3	__Glg1
639	__Rpa1	UBE2E1	HMG20B	POLR2A	ZMYND8
640	SYNE2	XPO6	SSBP2	__Pdcd6ip	__Mat2a
641	NDUFB6	IL16	WDR33	__Arpc4	MRPL27
642	SPAG9	__Ube2h	STAG2	CHD1	ETFA
643	SP140	__Tardbp	__Lims1	MED13	__Fdft1
644	ELAVL1	__Gprin3	__Ubxn4	SERINC5	__Ppp1cb
645	__A430093F15Rik	ZFC3H1	__Txnip	SHLD2	NT5C
646	HAVCR2	__Drap1	MON2	__Pten	__Spn
647	__Dgkz	__Sept6	WDR45B	FUBP1	ADAM10
648	__Uck2	PHF14	LNPEP	RAB5IF	KIF2C
649	CMIP	__Flna	__Ndufa5	CHCHD3	__Ccdc50
650	ZFC3H1	__Hipk2	__Wapl	__Mrpl14	IL21R
651	DCTPP1	HAVCR2	__AI662270	MARK3	ARRB2
652	__Pdcd6	__Pstpip1	SMC5	__Gabarapl2	KDM4B
653	SMC1A	GSK3B	__Hivep2	__Kpna4	__Ntrk3
654	DTYMK	__Ccni	LARP4B	HTT	__Eif1ax
655	TSTD1	DNAJC7	CSNK1G1	PHF3	__Gtf2h5
656	DDHD1	SVIP	POLR2I	__Crebbp	ANKRD28
657	__Ifi35	__Il24	PSMC4	__Psmd13	USP37
658	__Gm13546	YTHDC1	DEF6	SLC9A3R1	__Tipin
659	ADAM19	__Babam1	GRAMD1A	__Mia2	PUF60
660	POLR2F	__Tcf20	__Znhit1	GTF3C6	PDXK
661	PTBP3	PPHLN1	__Fdft1	PARVB	AOPEP
662	__Sod2	__Cnot1	PPHLN1	__Pum1	CDK4
663	__Senp6	__B4galt1	CD55	PKN2	__Mapk1
664	DAP3	DTYMK	PRKRIP1	EIF4A2	__Lrba
665	__1810058I24Rik	__Kdm2a	LITAF	AHNAK	__Ralbp1
666	NT5C	DNAJC9	HDAC8	PSD4	SSBP2
667	DHPS	XKR6	__Stat5b	KDM5A	__Arf4
668	__Ralgapa2	__Dok2	MGAT1	__Sar1a	MLEC
669	__Mkln1	KDM4B	__Top1	ADD3	ITM2B
670	SMCO4	PTBP3	__Adam19	__Jak2	__Yy1
671	WDR45B	__Ppp2ca	AIMP1	TMC8	__Sept6
672	TRADD	__Kdelr1	ZC3H12D	IRF1	CASP3
673	DNAJC9	__Sf3b6	__Gm2a	G3BP1	PDCD6
674	__Psmd13	__Mkln1	__Mrtfa	__Zranb2	__Nucb1
675	__Gabarapl2	POLR2F	__Sf3b6	__Cab39	__Rab14
676	ATP13A3	AGO2	PDXK	MYO9B	__Gabarapl2
677	__Ambra1	TMEM147	__Grb2	AC008105.3	CSNK2A1
678	__Kdm2a	SMCO4	RNF126	__Pop5	__Dap3
679	__Idh3g	__Add1	REXO2	LMAN2	__Ogt
680	PPHLN1	IGFBP2	VASP	__Zmynd8	AGTPBP1
681	UBE2Z	__Ythdc1	HIF1A-AS3	__Ehmt2	__Dctn3
682	__Ube2h	__Idh3g	MRPL11	SEC61A1	__Diaph2
683	__Adh5	EIF4A3	__Acp5	__Zfand3	ANKRD36C
684	__Pdlim1	__Ccdc58	__Sell	__Ubn2	__Ywhaq
685	DNAJC7	REV3L	AOPEP	SYNGR2	__Map4
686	SRSF9	__Rsrc2	__Pstpip1	__Plec	TMC8
687	FAM50A	DAP3	__Gabarapl2	DHX36	__Eif4e2
688	SMC5	__Tut4	__Pop5	GOLGA8B	__Pitpna
689	PSMD9	__Sod2	CDK4	__Bex3	__Rassf1
690	NCAPG2	__Ambra1	GADD45A	MRPL11	__Hsbp1
691	__Cnp	__Mtch1	__Aimp1	RHOC	__Fmnl1
692	__Polr2g	TRADD	__Flna	__B4galnt1	ADGRG1
693	SDF2L1	WDR33	__Ramp1	ESD	__Wac
694	__Ptp4a3	__Zcchc17	__Rdx	__Naa10	__Naa10
695	CD55	__Rpa1	__Tra2a	UBE2H	__Cdv3
696	__Kdelr1	__Cnot6l	__Ppig	PPP1R7	DEF6
697	__Ramp1	MRPS16	ARIH1	AC092821.3	__Agfg1
698	__Dnajb6	RNF7	__Luc7l3	PMVK	LINC00513
699	__Vsir	__Ankrd37	__Mrpl28	__St3gal4	COPA
700	__Gprin3	MTCH1	__Lncpint	PPP4C	__Cisd3
701	PRRC2B	__Vti1a	RAB27A	__Atxn10	CDC123
702	__Zcchc17	__Arf4	__Ghitm	PIBF1	__Ndufb2
703	AGO2	HMG20B	__Fryl	__Irf4	__Acsl5
704	__Frg1	FAH	CAPNS1	NSD1	MCL1
705	__Ruvbl2	IL21R	ANKRD28	__Lsm2	__Vmp1
706	__Add1	__Ramp1	__Diaph2	__Sash3	__Grb2
707	UFC1	__Pacs1	__Pitpna	RABL6	__Dock8
708	__Tcf20	__Pdcd6	GSDMD	__Mrps15	__Rnf114
709	WDFY1	__Pdlim1	ARRB2	SUPT5H	__Tspan13
710	DOK2	__Polr2g	__Jaml	SP100	__Tra2a
711	CBFB	PRRC2B	__Akt3	ARL2	__Sdha
712	ARPP19	ITM2B	__Cbl	SLC41A2	AP3B1
713	CEP350	__Bhlhe40	SBF2	__Ap2m1	USP12
714	__Susd3	__Rab7	CSGALNACT2	__Rab14	__Znhit1
715	XRN1	GRAMD1A	__Psip1	CENPK	ZC3H12C
716	DDX6	DAZAP2	ALKBH5	CDC27	ATP1A1
717	__Sbno1	GCC2	__Clint1	EIF5	__Flna
718	MGAT1	__Senp6	__Ostf1	MLF2	MRPL11
719	MTCH1	CIR1	POLA1	__Esyt2	MDM4
720	CIR1	JUN	__Ubap2l	ACTR1B	__Stip1
721	__Ctsz	ESF1	RTF2	KIF2C	__Arhgap9
722	__Fmnl1	__Ube2m	MRPL17	TIAM2	__Apbb1ip
723	RAB27A	IFNAR2	__Aurka	STX16	__Tram1
724	LEF1	KAT6A	PIM2	MRPL37	__Sik3
725	CD3G	PITPNB	PTBP3	__Zfp106	LITAF
726	__Ythdc1	__Nrf1	__Stag2	__Psma5	__Stag2
727	PSMC4	PHACTR2	CDCA5	__Vti1a	__Sptbn1
728	__Arf4	CD3G	TNF	__Ptp4a3	__Lncpint
729	TBC1D4	ZNF644	__Arhgap18	ARL15	MON2
730	__Lsm2	__Eif1ax	__Kif15	__Ppp6r3	__Hivep2
731	__Tnik	__Cnp	TRERF1	__Rps6ka3	__Thoc2
732	MRPL11	__1810058I24Rik	EIF4G1	__Scp2	TLN1
733	YTHDC1	PSMD9	GOLGA8A	__Ralgapa2	__Napa
734	__Baz1b	FAM172A	ANKRD36C	AP3S1	__Faf1
735	__Arhgap18	PIAS1	__Acsl4	__Sept6	ZFP36L2
736	__Rab7	__Naa10	__Phf21a	POU2F1	__Acp5
737	MCTP2	R3HDM1	__Nudcd3	HNRNPH3	__Hmmr
738	GSK3B	__Mier1	TLN1	__Ube2k	__Psmd7
739	FAH	__Thoc2	__Dap3	GRAMD1A	SYNE2
740	SDF4	__Mdm4	PHF19	__Aimp1	AARS
741	SVIP	__Casp8	HLA-DRB1	ZBTB1	TWF2
742	__Rsrc2	__Sesn3	SDF2L1	YWHAG	AIMP1
743	EIF4G1	__Vsir	__Lrba	__Cmtm7	POLR2I
744	__Arhgap9	__Stat5b	__Fam120a	WDR33	RBL1
745	SPAG7	__Phf5a	__Nr3c1	ATAD5	RB1
746	RFC3	__Ndufs2	HNRNPUL2	TNKS	RAB5IF
747	FDXR	__Arhgap18	DPP7	GIGYF2	ANKIB1
748	__Mier1	RPA2	RBMS1	NCOA1	VAMP8
749	IFNAR2	CDK19	__Ywhaq	__Tk1	__Tnfaip8l2
750	EIF4A3	UFC1	NDUFA7	__Pkp3	TNF
751	__Ccdc58	LNPEP	TM9SF3	__Rfc1	__Vps13b
752	REV3L	__Fmnl1	ANKIB1	__Itgb1	UGP2
753	PITPNB	__Tnik	MTF2	__Xrn2	__Akt3
754	__Chtop	LMNB1	TMC8	CRTC3	__Fzr1
755	__Ctsd	__Ubl3	CMIP	MDM4	PGP
756	__Rassf1	EPC1	UGP2	NT5C	__Sell
757	ITM2B	__Rab14	__Fndc3a	OCIAD1	__Gm11808
758	__Gm11808	DOK2	__Itpr1	AC090125.1	__Stub1
759	__Mdm4	__Mrpl51	__Cd44	R3HDM2	__Lsm2
760	FAM172A	__Ptp4a3	SYF2	__Stip1	THOC2
761	GCC2	EIF4G1	__1810058I24Rik	SMC5	__Pstpip1
762	__Dap3	GADD45A	__Sash3	VPS29	__Cbl
763	GADD45A	ENOSF1	__Med28	UGP2	CMPK1
764	CISD1	ARPP19	__Rbm17	PPAN	__Acsl4
765	__Sesn3	FAM50A	__Psmd13	__Lims1	CSNK1G1
766	__Vmp1	__Lsm2	DHX36	__Mrpl20	CDKN3
767	__Ost4	__Ppp1r18	DKC1	__Ythdc1	LAGE3
768	__Pacs1	CISD1	PSMD3	NME3	CDCA5
769	RPA2	HNRNPUL2	SYNE3	UBAC2	__Ctsz
770	ENOSF1	__Ruvbl2	__D16Ertd472e	AARS	WDR45B
771	FADS2	__Adh5	__Sdha	ROMO1	__Txnip
772	__Glg1	__Baz1b	PEAK1	MAP3K2	__Gm13546
773	FAM120A	__Psmd13	UBE2Z	__Scd1	__4930523C07Rik
774	WDR33	PSMD1	__Agfg1	KRT10	CLDND1
775	PGLS	__Arhgap9	SLC5A3	__Ankib1	__1810058I24Rik
776	DAZAP2	FAM120A	__Ralgapa2	__St8sia4	GSPT1
777	NDUFS4	__Ifi35	ZMYND8	ELOVL5	__Peak1
778	__Nrf1	HBS1L	__Fmnl1	MEF2A	__Zmiz1
779	__Lamtor5	STIM1	MT-ND6	UBR2	TM9SF3
780	VASP	SDF4	__Igf1r	DCP2	__Mrfap1
781	__Chd7	__AI662270	KDM4B	EIF3J	SNW1
782	XKR6	__Rasal3	WDFY1	TADA3	__Fam133b
783	JUN	DIAPH2	EMC6	__Snw1	__Pik3r1
784	HCFC1R1	NDUFS4	__Pik3r1	SPPL3	WDR33
785	__Srgap2	ERGIC3	__Snx20	__Osbpl8	__Tln1
786	GSDMD	PSMC4	__Hipk2	__0610012G03Rik	HLA-DRB1
787	FASN	NDUFA10	PDCD6	C1orf43	__Cmtm7
788	__Cenpw	__Gabarapl2	__Rab14	__Mbtd1	__Sf3b6
789	LNPEP	__Rassf1	__Cyb5b	__Pdap1	NDUFAF3
790	ESF1	CNOT1	XRN1	MCL1	__Cyb5b
791	PSMD1	PPP1CB	__Arhgap9	CDC20	__Ddrgk1
792	__Psma5	__Sfr1	VGLL4	ADAR	__Med28
793	NDUFA10	TMC8	__Sar1a	SENP6	__Rgcc
794	ERGIC3	DHPS	__Vps13b	__Ndufa8	RBMS1
795	__Aimp1	__Aimp1	PHF14	__Ifi30	__Ube2k
796	HNRNPUL2	MTF2	__Arpc4	IDI1	SDHA
797	__Sfr1	__Ghitm	NDUFC1	__Fmnl1	__Psip1
798	__Mydgf	PFDN4	__Ddrgk1	__Psmb10	__Erh
799	__Phip	DDX3Y	__Mrps26	__Stub1	__Cit
800	__Stat5b	__Dap3	RB1	__Thoc7	__Sar1a
801	ZNF644	MGAT1	DDX6	MPHOSPH8	STAG2
802	PSMD3	__Susd3	NUDT5	PCBP3	__Atxn10
803	PHACTR2	__Psmd2	__Zmiz1	PTPN11	PSMD11
804	CD27	__Lamtor5	TMEM131L	__Arhgap9	__Sfxn1
805	__Thoc2	__Phip	CUL3	__Snrpa	SYNE3
806	DIAPH2	__Glg1	NT5C	PHF20	MIR181A1HG
807	HINT2	__Eif1ad	__Atxn10	__Rab5if	__Sash3
808	PIAS1	VDR	__Stip1	__Apbb1ip	FKBP4
809	__Bhlhe40	NCK2	VAMP8	MGMT	__Ubap2l
810	TMC8	__Rdx	__Ubl3	__Rcc2	PHF20
811	__Tut4	FADS2	LRPPRC	PET100	__Knl1
812	__Tomm5	CD27	__Aip	SHF	ARIH1
813	PUF60	MRPL11	OSTC	__Ndufa12	__Rala
814	AURKA	__Knl1	LAGE3	WDR45B	PRKAR1B
815	SUPT4H1	HCFC1R1	FADS2	PRIM2	ARPP19
816	__Ppp1r18	SPAG7	__Mrfap1	ZC3H15	__Nr3c1
