model	n_comparisons	n_sites_mean	n_sites_ci95_low	n_sites_ci95_high	signed_fraction_all_mean	signed_fraction_all_ci95_low	signed_fraction_all_ci95_high	signed_fraction_responsive20_mean	signed_fraction_responsive20_ci95_low	signed_fraction_responsive20_ci95_high	signed_fraction_predicted20_mean	signed_fraction_predicted20_ci95_low	signed_fraction_predicted20_ci95_high	all_cosine_mean	all_cosine_ci95_low	all_cosine_ci95_high	all_spearman_mean	all_spearman_ci95_low	all_spearman_ci95_high	all_direction_mean	all_direction_ci95_low	all_direction_ci95_high	responsive20_cosine_mean	responsive20_cosine_ci95_low	responsive20_cosine_ci95_high	responsive20_spearman_mean	responsive20_spearman_ci95_low	responsive20_spearman_ci95_high	responsive20_direction_mean	responsive20_direction_ci95_low	responsive20_direction_ci95_high	predicted20_cosine_mean	predicted20_cosine_ci95_low	predicted20_cosine_ci95_high	predicted20_spearman_mean	predicted20_spearman_ci95_low	predicted20_spearman_ci95_high	predicted20_direction_mean	predicted20_direction_ci95_low	predicted20_direction_ci95_high	top20_recall_mean	top20_recall_ci95_low	top20_recall_ci95_high	top20_overlap_direction_mean	top20_overlap_direction_ci95_low	top20_overlap_direction_ci95_high	response_auroc_abs_pred_mean	response_auroc_abs_pred_ci95_low	response_auroc_abs_pred_ci95_high	pred_abs_mean	pred_abs_ci95_low	pred_abs_ci95_high	real_abs_mean	real_abs_ci95_low	real_abs_ci95_high	n_mapping_rows_mean	n_mapping_rows_ci95_low	n_mapping_rows_ci95_high
ppko_v10b	125	30.712	29.94209453905879	31.48190546094121	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5596200887849156	0.5231332395076236	0.5961069380622077	0.5760437643332792	0.5430823781496138	0.6090051505169446	0.6962186617619377	0.6778032886826385	0.7146340348412369	0.7196111975629783	0.6796750596341764	0.7595473354917802	0.6697714285714286	0.6250045206858664	0.7145383364569907	0.8631619047619048	0.8386691918097577	0.8876546177140519	0.7039701807503493	0.6587321343736103	0.7492082271270883	0.6290285714285716	0.5654560699437924	0.6926010729133508	0.8605238095238096	0.8324072799654056	0.8886403390822135	0.45833015873015875	0.4248073276149309	0.4918529898453866	0.9810298102981029	0.967326427034438	0.9947331935617677	0.7127133556064263	0.685327939551728	0.7400987716611247	0.04509117729695602	0.04127148410616093	0.048910870487751106	0.6959882434359952	0.6500544128836423	0.7419220739883481	36.328	35.1507833218548	37.5052166781452
zero_vector	125	30.712	29.94209453905879	31.48190546094121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												0.21510793650793647	0.19135077140211224	0.2388651016137607				0.5	0.5	0.5	0.0	0.0	0.0	0.6959882434359952	0.6500544128836423	0.7419220739883481	36.328	35.1507833218548	37.5052166781452
direct_kinase_substrate	125	30.712	29.94209453905879	31.48190546094121	0.044738271805235104	0.026810106911938362	0.06266643669853185	0.04790476190476191	0.029442983661212934	0.06636654014831088	0.1514285714285714	0.09558082140410132	0.2072763214530415	0.03254226754446316	-0.023583560765850782	0.08866809585477711	0.06786603065991995	0.012128278712680483	0.1236037826071594	0.5483512581168831	0.4503143740870764	0.6463881421466898	0.041412048893786	-0.093909970251214	0.176734068038786	0.15743148341306898	-0.0017544574112696165	0.3166174242374076	0.5740740740740741	0.40927376100163837	0.7388743871465098	0.01617542302852265	-0.10834795288745315	0.14069879894449844	-0.09520142573940221	-0.212848508694774	0.02244565721596957	0.53125	0.4295855367769186	0.6329144632230814	0.215631746031746	0.19219817941352044	0.23906531264997158	0.4930555555555555	0.31556568640797056	0.6705454247031405	0.5031814138237288	0.49563128430947545	0.5107315433379822	0.01639761476542918	0.00872584329394868	0.024069386236909678	0.6959882434359952	0.6500544128836423	0.7419220739883481	36.328	35.1507833218548	37.5052166781452
graph_heat_diffusion	125	30.712	29.94209453905879	31.48190546094121	0.8613379178580068	0.8073879662097284	0.9152878695062853	0.8758571428571429	0.8206738526482439	0.9310404330660419	0.888	0.8324913426107127	0.9435086573892874	0.023800557640889362	-0.0087398320592268	0.056340947341005525	0.05979696630896672	0.027569711611242165	0.09202422100669128	0.48885415925788234	0.4742741380951756	0.5034341804205891	0.04617579961112346	-0.022296010362481217	0.11464760958472814	0.11430716430716431	0.03193496224414305	0.19667936637018557	0.43923923923923913	0.40882455936023265	0.4696539191182456	0.03693660887485289	-0.03451128473202384	0.10838450248172962	0.1358858858858859	0.054617559813800204	0.2171542119579716	0.5475904475904476	0.5174791100251562	0.577701785155739	0.22956825396825392	0.20244254747969614	0.2566939604568117	0.5595238095238095	0.47714717052390276	0.6419004485237163	0.5172042630238517	0.49552793406747875	0.5388805919802246	0.006211723607188907	0.004834400338388568	0.007589046875989247	0.6959882434359952	0.6500544128836423	0.7419220739883481	36.328	35.1507833218548	37.5052166781452
rwr_signed_graph	125	30.712	29.94209453905879	31.48190546094121	0.8595825888540072	0.8058383273078884	0.913326850400126	0.8835238095238095	0.8281233143847879	0.938924304662831	0.888	0.8324913426107127	0.9435086573892874	0.032237287823498176	-0.0029932685103098156	0.06746784415730617	0.05811870051964683	0.024024230046218578	0.09221317099307508	0.49245444772415753	0.47790432355744994	0.5070045718908651	0.09436963831986803	0.023339115049275647	0.1654001615904604	0.12803517803517805	0.047441319533569906	0.20862903653678622	0.4578721578721579	0.4278061420452372	0.4879381736990786	0.04933568765761959	-0.02634319059064061	0.12501456590587978	0.12196482196482196	0.0405718668395757	0.20335777709006822	0.5262870012870013	0.49097113485668514	0.5616028677173176	0.2217714285714285	0.1947244711347658	0.24881838600809122	0.5842391304347825	0.5002641607219707	0.6682141001475943	0.5170480426726597	0.49635764542649935	0.53773843991882	0.006641197362209766	0.00489021745856252	0.008392177265857012	0.6959882434359952	0.6500544128836423	0.7419220739883481	36.328	35.1507833218548	37.5052166781452
ridge_signed_target	125	30.712	29.94209453905879	31.48190546094121	0.9713597332150227	0.9692947652021463	0.973424701227899	0.9614444444444445	0.9500138904214411	0.972874998467448	1.0	1.0	1.0	-0.030793251926511136	-0.06104411950397115	-0.0005423843490511178	-0.04187820715709231	-0.07519515976912843	-0.008561254545056199	0.4764455306296182	0.4582248497760052	0.4946662114832312	-0.01868004963614341	-0.08636419085387467	0.04900409158158786	-0.009127560609919571	-0.08246541710525454	0.06421029588541541	0.5256888888888889	0.4910594388711358	0.560318338906642	-0.09879749302457343	-0.16789503241472084	-0.029699953634426013	-0.033980952380952376	-0.10703502139306016	0.03907311663115541	0.456631746031746	0.4197573798663195	0.4935061121971725	0.20560317460317462	0.1788011974534974	0.23240515175285184	0.46043771043771037	0.3770849663799648	0.5437904544954559	0.47081875977892607	0.447399562566645	0.49423795699120715	0.07004233824722886	0.0672844681005163	0.07280020839394141	0.6959882434359952	0.6500544128836423	0.7419220739883481	36.328	35.1507833218548	37.5052166781452
retrieval_target	125	30.712	29.94209453905879	31.48190546094121	0.764597613486353	0.757325622214427	0.771869604758279	0.7145936507936507	0.6890936153781779	0.7400936862091234	1.0	1.0	1.0	-0.021801294877212947	-0.054386307207591175	0.010783717453165281	-0.014289046604042864	-0.04753196492124541	0.01895387171315968	0.49158684449768647	0.4718641092696994	0.5113095797256736	-0.05851673348616791	-0.1296964394170581	0.012662972444722281	-0.03139568490536208	-0.111717772870982	0.04892640306025784	0.49382857142857134	0.45474408765413754	0.5329130552030051	-0.038484452924328456	-0.11254753801479958	0.03557863216614266	-0.06918095238095237	-0.1445911538702701	0.0062292491083653645	0.4773428571428572	0.44528823545662866	0.5093974788290857	0.1612190476190476	0.14066821722446718	0.181769878013628	0.3923611111111111	0.3047527555250939	0.4799694666971283	0.4600743033531919	0.4401236949203818	0.480024911786002	0.10580130068754973	0.10333329838906428	0.10826930298603517	0.6959882434359952	0.6500544128836423	0.7419220739883481	36.328	35.1507833218548	37.5052166781452
retrieval_target_baseline	125	30.712	29.94209453905879	31.48190546094121	0.8040724936288881	0.7949992894947279	0.8131456977630483	0.7948571428571428	0.769498997817086	0.8202152878971997	1.0	1.0	1.0	-0.02790939192347325	-0.06136882710271095	0.005550043255764445	-0.06114977141116285	-0.09634441655097323	-0.02595512627135247	0.47400134201350064	0.4556542226393036	0.49234846138769767	-0.0073274892348211594	-0.07486656937770025	0.06021159090805794	-0.01853097824183478	-0.09298854873449863	0.05592659225082908	0.4734761904761905	0.4332570409153426	0.5136953400370383	-0.09404298453540312	-0.1702074277172845	-0.017878541353521737	-0.15015238095238098	-0.2225210236225399	-0.07778373828222206	0.45717142857142845	0.41815564059951005	0.49618721654334685	0.20924444444444443	0.1833737962893757	0.23511509259951316	0.41336633663366334	0.33282583821759126	0.4939068350497354	0.4993551996845125	0.47861881400313805	0.5200915853658868	0.11507898864426776	0.11256424635772021	0.11759373093081531	0.6959882434359952	0.6500544128836423	0.7419220739883481	36.328	35.1507833218548	37.5052166781452
