n_sites	signed_fraction_all	signed_fraction_responsive20	signed_fraction_predicted20	all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	predicted20_cosine	predicted20_spearman	predicted20_direction	top20_recall	top20_overlap_direction	response_auroc_abs_pred	pred_abs	real_abs	model	comparison_id	comparison_index	perturbation	target_genes	n_mapping_rows	retrieved_target_comparison	retrieved_target_baseline_comparison
41	1.0	1.0	1.0	0.6854252506729362	0.7135888501742162	0.8048780487804879	0.7695278121688902	0.38333333333333336	1.0	0.8195663136618045	0.7833333333333333	1.0	0.5555555555555556	1.0	0.7708333333333334	0.05977447847438204	0.823406367040262	ppko_v10b	p100_delta_00000	0	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		
41	0.0	0.0	0.0										0.1111111111111111		0.5	0.0	0.823406367040262	zero_vector	p100_delta_00000	0	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		
41	0.0	0.0	0.0										0.1111111111111111		0.5	0.0	0.823406367040262	direct_kinase_substrate	p100_delta_00000	0	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		
41	0.9512195121951219	1.0	1.0	0.1422604461284842	-0.05766550522648085	0.46153846153846156	-0.1647347773317146	0.19999999999999998	0.4444444444444444	0.5446556975729512	0.03333333333333333	0.3333333333333333	0.0		0.3055555555555556	0.00392924950608959	0.823406367040262	graph_heat_diffusion	p100_delta_00000	0	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		
41	0.975609756097561	1.0	1.0	0.1463931389743271	-0.09547038327526133	0.45	-0.5753814666252556	-0.33333333333333337	0.2222222222222222	0.6816689760599596	0.41666666666666663	0.3333333333333333	0.0		0.3541666666666667	0.0033469756037819514	0.823406367040262	rwr_signed_graph	p100_delta_00000	0	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		
41	0.975609756097561	0.8888888888888888	1.0	0.1504881356744505	0.2996515679442509	0.675	-0.017847691416678867	0.18333333333333335	0.625	0.695699712934197	0.26666666666666666	0.7777777777777778	0.0		0.15625	0.060639520243900576	0.823406367040262	ridge_signed_target	p100_delta_00000	0	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		
41	0.7804878048780488	0.6666666666666666	1.0	-0.018970067451929536	-0.16357493717752397	0.40625	-0.333579676550101	-0.05085476277156078	0.6666666666666666	0.20681058205352307	-0.06666666666666667	0.4444444444444444	0.0		0.23958333333333334	0.10672714445376541	0.823406367040262	retrieval_target	p100_delta_00000	0	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52	decryptm_delta_00020	
41	0.8780487804878049	0.7777777777777778	1.0	0.124293565506336	0.14280737772674285	0.6111111111111112	0.10951086846292046	0.11715583722580122	0.5714285714285714	0.33640738769046064	0.13333333333333333	0.5555555555555556	0.0		0.3715277777777778	0.11414626969887716	0.823406367040262	retrieval_target_baseline	p100_delta_00000	0	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		decryptm_delta_00030
41	1.0	1.0	1.0	0.7641677347462775	0.7019163763066203	0.6829268292682927	0.9047715177417076	0.9166666666666666	1.0	0.9119891074803801	0.8499999999999999	1.0	0.6666666666666666	1.0	0.7986111111111112	0.06722859352281908	0.7884965233686494	ppko_v10b	p100_delta_00001	1	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		
41	0.0	0.0	0.0										0.3333333333333333		0.5	0.0	0.7884965233686494	zero_vector	p100_delta_00001	1	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		
41	0.0	0.0	0.0										0.3333333333333333		0.5	0.0	0.7884965233686494	direct_kinase_substrate	p100_delta_00001	1	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		
41	0.9512195121951219	1.0	1.0	-0.04717031570820391	-0.00923344947735192	0.46153846153846156	0.016906569463595672	-0.3	0.4444444444444444	-0.11253378928359081	-0.19999999999999998	0.4444444444444444	0.2222222222222222	0.5	0.59375	0.00392924950608959	0.7884965233686494	graph_heat_diffusion	p100_delta_00001	1	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		
41	0.975609756097561	1.0	1.0	-0.039835611121343685	0.2182926829268293	0.6	0.2530228743711838	0.08333333333333334	0.4444444444444444	-0.08837775919536336	0.39999999999999997	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.5833333333333334	0.0033469756037819514	0.7884965233686494	rwr_signed_graph	p100_delta_00001	1	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		
41	0.975609756097561	1.0	1.0	0.13572565145127422	0.15156794425087108	0.5	0.6768567758076882	0.6666666666666667	0.7777777777777778	0.03925836760588599	0.18333333333333335	0.3333333333333333	0.1111111111111111	1.0	0.5902777777777778	0.060639520243900576	0.7884965233686494	ridge_signed_target	p100_delta_00001	1	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		
41	0.7804878048780488	0.7777777777777778	1.0	-0.36067192245919405	-0.23555491488626312	0.375	-0.6107476757874757	-0.5606743638663345	0.2857142857142857	-0.5646489148877625	-0.6	0.2222222222222222	0.3333333333333333	0.0	0.5277777777777778	0.10672714445376541	0.7884965233686494	retrieval_target	p100_delta_00001	1	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52	decryptm_delta_00020	
41	0.8292682926829268	0.8888888888888888	1.0	0.26265126119934656	0.33391647135179425	0.7058823529411765	0.5705585158998521	0.31666666666666665	0.75	0.25263791998261803	0.39999999999999997	0.4444444444444444	0.2222222222222222	1.0	0.5590277777777778	0.1213672231065064	0.7884965233686494	retrieval_target_baseline	p100_delta_00001	1	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	52		decryptm_delta_00038
38	1.0	1.0	1.0	0.5764231819471098	0.6060838166101323	0.6842105263157895	0.627385343650193	0.4761904761904762	0.75	0.885339933115034	0.6666666666666669	1.0	0.625	1.0	0.6875	0.05310541055606384	0.588048364476938	ppko_v10b	p100_delta_00002	2	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	47		
38	0.0	0.0	0.0										0.25		0.5	0.0	0.588048364476938	zero_vector	p100_delta_00002	2	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	47		
38	0.0	0.0	0.0										0.25		0.5	0.0	0.588048364476938	direct_kinase_substrate	p100_delta_00002	2	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	47		
38	0.9473684210526315	0.875	1.0	0.018651254961214905	-0.20166320166320167	0.3888888888888889	-0.2964505165167626	-0.30952380952380953	0.42857142857142855	0.05412038950049052	-0.5952380952380953	0.375	0.125	0.0	0.37083333333333335	0.00423747510753432	0.588048364476938	graph_heat_diffusion	p100_delta_00002	2	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	47		
38	0.9736842105263158	1.0	1.0	0.02206186146703929	-0.11390742969690337	0.43243243243243246	-0.30805701322484186	-0.5952380952380953	0.25	0.06017341336541377	-0.11904761904761905	0.375	0.125	0.0	0.44166666666666665	0.003603070421006219	0.588048364476938	rwr_signed_graph	p100_delta_00002	2	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	47		
38	0.9736842105263158	1.0	1.0	-0.12387915169773615	0.013458802932487144	0.4594594594594595	0.1001124963948972	0.4285714285714286	0.625	-0.5933902212115351	0.523809523809524	0.125	0.0		0.32916666666666666	0.06171862859474985	0.588048364476938	ridge_signed_target	p100_delta_00002	2	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	47		
