layer	selected	median_spearman	n_outputs	status
CPTAC phosphosite	20260426_cptac_adversarial_ensemble_stack_v1	0.4305588762701733	18617	selected
CPTAC total protein	20260428_cptac_total_proteome_film_vae_z_direct_residual_v1	0.4846051523389646	11554	selected
CPTAC total protein	20260429_cptac_total_proteome_film_vae_z_direct_residual_v2	0.4729714323757167	11311	rejected_lower_than_v1
TCPA phospho antibody	20260428_tcpa_pancancer_rppa_film_vae_z_direct_residual_v1	0.6364467170343006	73	selected
TCPA total antibody	20260428_tcpa_pancancer_rppa_film_vae_z_direct_residual_v1	0.6652301230803972	374	selected
